id	name	description	rating	country	city	restaurantDetails
0	Hotel Lazuli	Położony tuż przy plaży z rafą koralową i centrum nurkowym, jest idealnym miejscem dla miłośników nurkowania i aktywnego wypoczynku. Zobacz wspaniały podwodny świat, łap słońce na leżaku przy basenie, szalej w aquaparku albo skorzystaj z bogatej oferty sportowo-rekreacyjnej dostępnej na miejscu. Po aktywnym dniu zrelaksuj się w hotelowym centrum spa i wypocznij w eleganckich, przestronnych pokojach wyposażonych we wszystko, co jest potrzebne do komfortowego wypoczynku.	5.5	Egipt	Marsa Alam
1	Hotel Angela Beach	Położony w północnej części wyspy, z dala od hałaśliwych, wakacyjnych kurortów, blisko 2 urokliwych plaż z bezpłatnym serwisem. Otoczony zielenią, składa się z 12 budynków w niskiej zabudowie. Na miejscu wszystko, co potrzebne do beztroskiego wypoczynku: wygodne pokoje, 3 baseny, brodzik, restauracje i bary. Hotel słynie z rodzinnej atmosfery i miłej obsługi, do urokliwego miasteczka z centrum i długą, piaszczystą plażą można wygodnie dojechać hotelowym busem.	4.9	Grecja	Korfu
2	Hotel Fafa Sun	Nowiutki i tylko dla dorosłych, siostrzany hotel lubianego Fafa Premium, z którego lokali gastronomicznych i wydzielonej prywatnej strefy na plaży mogą swobodnie korzystać Goście. Położony w dzielnicy turystycznej niedaleko nadmorskiej miejscowości Golem, jest doskonałym miejscem na wypoczynek pełen chillout’u i dobrej zabawy gwarantowanych przez formułę ItaKarma! Na słodkie lenistwo poleca się leżak przy basenie lub na plaży, od której hotel dzieli tylko kilka kroków, a przytulne pokoje urządzone w stonowanych kolorach ziemi świetnie sprawdzą się na relaks po gorącym dniu. Słońce, piękne wnętrza, szum fal i bąbelków prosecco – to przepis na odprężający urlop, który na długo pozostanie w pamięci!	4.7	Albania	Durres
3	Hotel Fuerteventura Princess	Rozległy kompleks hotelowy położony w urokliwym zakątku Fuerteventury oferuje pobyt w miejscu znanym z pięknych krajobrazów! Dzięki morzu o wszystkich odcieniach błękitu i złocistej, piaszczystej plaży Esquinzo wakacje marzeń gwarantowane! Piękny ogród, bogata infrastruktura rekreacyjno-sportowa, rewelacyjne baseny z bezpłatnymi leżakami, a także animacje dla dorosłych oraz dzieci to mocne strony hotelu. Spokojna okolica, bogata oferta all inclusive i przestronne pokoje czynią hotel miejscem idealnym na wypoczynek w rodzinnym gronie lub romantyczne wakacje dla dwojga. Zdecydowanie wart swojej ceny. W 2022 r. hotel otrzymał ŻAGIEL ITAKI za najwyższą jakość świadczonych usług.	5.2	Wyspy Kanaryjskie	Fuerteventura
4	Hotel Fanar & Residences	Obramowana palmami piękna plaża z delikatnym piaskiem, rewelacyjnie zaprojektowane baseny z widokiem na ocean oraz serwis na najwyższym poziomie – idealne miejsce na wakacje marzeń! Wyszukana architektura i eleganckie pokoje z orientalnymi elementami dekoracyjnymi przypadną do gustu najbardziej wymagającym. Hotelowe restauracje serwują wyszukane dania kuchni międzynarodowej i śródziemnomorskiej, doskonałym miejscem na relaks jest bar przy plaży. Dla aktywnych przygotowano zajęcia sportowe i animacje, warto również wybrać się do centrum Salalah ze sklepami i restauracjami.	5.6	Oman	Salalah
5	Hotel Casa Blue Luxury Resort	Hotel tylko dla Gości powyżej 12. roku życia w znanym kurorcie Marsa Alam, jest doskonałą opcją dla wszystkich, którzy cenią sobie komfortowy wypoczynek. Na miejscu 2 restauracje, 3 bary, 3 baseny, a także taras z zapierającym dech widokiem na morze. W ciągu dnia możesz spędzić czas na hotelowej plaży, poćwiczyć jogę lub pilates oraz zagrać w siatkówkę plażową, a wieczorem zaszaleć podczas animacji dla dorosłych. Po aktywnym dniu spędzonym w promieniach egipskiego słońca, zrelaksuj się w przestronnych i nowocześnie urządzonych pokojach.	5.8	Egipt	Marsa Alam
6	Hotel Grint	Kameralny, położony bezpośrednio przy piaszczystej plaży z bezpłatnym serwisem, jest ciekawą propozycją zarówno na romantyczne wakacje we dwoje, jak i na wypoczynek z rodziną. Hotel Grint oferuje przestronne, komfortowe pokoje, urządzone w nowoczesnym stylu. Do dyspozycji Gości są 2 bary, w tym przy plaży, oraz restauracja serwująca pyszne dania kuchni albańskiej i śródziemnomorskiej.	5.3	Albania	Durres
7	Ranweli Holiday Village	Położony na niewielkim półwyspie, tuż przy piaszczystej plaży i otoczony bujnym ogrodem palmowym, to doskonałe miejsce na wymarzone wakacje z dala od miejskiego zgiełku i w prawdziwie egzotycznym stylu! Hotel oferuje pokoje w klimatycznych bungalowach, dzięki czemu można cieszyć się bliskością natury. Goście mają do dyspozycji basen z widokiem na morze, miłośnicy aktywności mogą spędzić czas grając w squasha czy siatkówkę plażową. Hotel kieruje się w swojej działalności zasadami sprzyjającymi środowisku, w swojej kuchni wykorzystuje świeże produkty pozyskiwane od lokalnych dostawców oraz posiada własne ekologiczne działki warzywne.	4.5	Sri Lanka	Sri Lanka
8	Hotel Royal G LUX	Stylowy i nowoczesny, zachwyca nie tylko dizajnem, ale również idealną lokalizacją! Położony tuż przy plaży, z widokiem na morze, w spokojnej okolicy, jednocześnie z łatwym dojazdem do centrum Durres – największego, albańskiego kurortu. Uwagę przyciągają tu wnętrza w kolorach natury oraz wyjatkowo komfortowe i urządzone w zgodzie z najnowszymi trendami pokoje. Do dyspozycji Gości są 2 restauracje i bary oraz taras z zapierającym dech widokiem. Czas wolny płynie tu leniwie przy basenie, polecamy również spędzić dzień na pięknej, piaszczystej plaży z serwisem. Tylko kilka kroków stąd do przystanku autobusowego, więc wygodnie dojedziesz do celu i zwiedzisz najpiękniejsze zakątki miasta i okolic. Prezentowany materiał graficzny przedstawia wizualizację obiektu.	4.7	Albania	Durres
9	Hotel Salalah Rotana Resort	Bajeczne miejsce o wspaniałej architekturze, idealnie harmonizujące z pustynnym otoczeniem. Niespotykane połączenie orientalnych motywów i nowoczesnej aranżacji. Ten luksusowy hotel ekskluzywnej sieci Rotana oferuje prawdziwie pięciogwiazdkowy wypoczynek. Luksusowe, stylowe pokoje o pięknej kolorystyce, z orientalnymi akcentami, zapewniają najwyższy komfort, robią wrażenie oryginalnie zaprojektowane wnętrza. Centrum hotelu stanowi fantastyczny basen, a biała plaża z palmami wyrastającymi z piasku przywodzi na myśl Karaiby. 	5.5	Oman	Salalah
10	Hotel Uroa Bay Beach Resort	Położony w spokojnej okolicy, bezpośrednio przy pięknej, piaszczystej plaży to doskonała propozycja na romantyczny wypoczynek we dwoje. Przestronne, komfortowo urządzone pokoje i przyjazny personel zapewniają wygodny i beztroski pobyt. Oprócz plaży, świetnym miejscem relaksu są dwa zadbane, ładnie wkomponowane w hotelowy teren baseny, a miłośników aktywnego wypoczynku ucieszy kort tenisowy oraz możliwość skorzystania z oferty lokalnych szkół kitesurfingu i nurkowania.	5.0	Zanzibar	Zanzibar
11	Hotel Casa Mare Resort (ex. Royal Tulip Beach Resort)	Idealne miejsce na wyjazd z przyjaciółmi i rodzinne wczasy – przestronne pokoje, serwis na wysokim poziomie i animacje pozwolą beztrosko cieszyć się słońcem! Do dyspozycji Gości są 4 baseny, kilka restauracji i barów, w tym bar przy plaży. Dla najmłodszych przygotowano miniklub oraz miniaquapark. Położony przy plaży z rafą koralową polecany jest również amatorom nurkowania. Długi pomost ułatwia wejście do wody i jest wspaniałym miejscem do oglądania morskiego życia.	5.1	Egipt	Marsa Alam
12	Hotel AHG Lion Beach Resort & SPA	Położony na północ od Mombasy, na cyplu pięknej zatoki Watamu, jest prawdziwym rajem dla wszystkich, którzy marzą o egzotycznych wakacjach. Na miejscu restauracja z urozmaiconą kuchnią lokalną i międzynarodową oraz bar przy basenie z orzeźwiającymi koktajlami. Beztroski odpoczynek na obsypanej białym piaskiem plaży oraz długie spacery przy malowniczym zachodzie słońca to wszystko, czego potrzeba, aby naładować baterie na całodniowe wycieczki po wspaniałej okolicy. Daj się zaskoczyć pięknym krajobrazom safari i odkryj cudowną Kenię zatrzymując się w nowo wybudowanym hotelu.	3.2	Kenia	Kenia
13	Sataya Resort Marsa Alam	Lubisz aktywny wypoczynek, a nurkowanie to Twoja pasja? Nie wahaj się, leć do Egiptu! Na miejscu czeka plaża z rafą koralową i centrum nurkowe, kilka basenów, zjeżdżalnie, kort tenisowy i animacje – tu nie ma szans na nudę. Hotel położony jest na rozległym terenie, przestronne pokoje są eleganckie i komfortowe, a popularna formuła all inclusive pozwoli w pełni cieszyć się z wakacji w Egipcie.	5.3	Egipt	Marsa Alam
14	Hotel Santa Caterina Village Resort & Spa	Otoczony śródziemnomorskim ogrodem, rozległy teren położony na pięknym wybrzeżu – Riwierze Cedrów, to doskonałe miejsce na wakacyjny wypoczynek. Jest tu taras z zapierającym dech widokiem na morze, restauracje serwujące pyszne, włoskie i śródziemnomorskie przysmaki oraz wygodne, jasne i nowocześnie urządzone pokoje. Dodatkowym atutem jest bliskość plaży z bezpłatnym serwisem i centrum z barami i restauracjami. Dla aktywnych hotel przygotował bogatą ofertę sportową z basenami i kortami tenisowymi.	4.2	Włochy	Kalabria
15	Hotel Dongwe Club Vacanze	Fantastyczny kompleks hotelowy, położony w wypielęgnowanym, tropikalnym ogrodzie, przy pięknej plaży z białym piaskiem i lazurowym oceanem w tle to znakomita propozycja na rodzinne wakacje. Przestronne pokoje, duży basen z częścią dla dzieci oraz wieczory muzyczne to tylko część atrakcji na miejscu. Do dyspozycji Gości są również 2 restauracje i 3 bary, korty tenisowe i centrum wellness. Hotel cieszy się doskonałymi opiniami, chwalony jest za bardzo dobry serwis i wysoką jakość usług.	5.3	Zanzibar	Zanzibar
16	Hotel Alvin Comfort	Otwarty w 2018 r., miejski hotel położony w spokojnej okolicy, która jednocześnie jest dobrze skomunikowana z centrum popularnego kurortu – Durres. Atutem tego hotelu jest również bliska odległość do pięknej, piaszczystej plaży z bezpłatnym serwisem – idealne miejsce na relaks i wodne aktywności. Polecany szczególnie na urlop we dwoje – kameralna atmosfera, nowoczesne wnętrza i przestronne pokoje pozwolą w pełni cieszyć się z wakacji w Albanii.	5.1	Albania	Durres
17	Hotel Barceló Lanzarote Active Resort	Nowy kompleks Barceló Lanzarote Active Resort, powstał z połączenia lubianych hoteli: Barceló Lanzarote Mar i Barceló Lanzarote Playa. Dzięki oryginalnemu konceptowi, jest idealnym miejscem zarówno dla entuzjastów sportu, jak i rodzin, par i przyjaciół szukających równowagi między najlepszą kuchnią, relaksem i aktywnym wypoczynkiem. Do dyspozycji Gości jest kilka basenów, w tym olimpijski oraz siłownia i centrum wellness z ofertą masaży i zabiegów pielęgnacyjnych. Sercem kompleksu i miejscem spotkań Gości jest La Plaza, gdzie można zjeść pyszną kolację w restauracji à la carte, a także wziąć udział w bogatym programie animacji hotelowych. Tu znajdziesz wszystko, co potrzebne, aby spędzić idealny urlop na Lanzarote!	5.2	Wyspy Kanaryjskie	Lanzarote
18	Hotel La Palma Princess	Jedyny w swoim rodzaju kompleks położony na nadmorskim klifie w malowniczej scenerii wyspy La Palma. Zbudowany w stylu wioski kanaryjskiej, składa się z kilkunastu budynków utrzymanych w naturalnych kolorach ziemi. Wielka strefa basenowa z przepięknym widokiem na ocean i słonecznymi tarasami ozdobionymi egzotyczną roślinnością to serce kompleksu. Hotel ma bogate zaplecze sportowe, jest tu kilka kortów tenisowych i boisko do siatkówki plażowej. Eleganckie i nowoczesne centrum SPA oferuje kryty basen, kilka saun, szeroki wybór zabiegów pielęgnacyjnych i masaży. Do dyspozycji Gości jest kilka barów i restauracje serwujące smaczną, lokalną kuchnię. Warto odwiedzić urokliwą latarnię morską w Fuencaliente oraz wybrać się na plażę La Zamora, typową dla La Palmy, z czarnym wulkanicznym piaskiem. Doskonały wybór na wypoczynek z rodziną lub romantyczny pobyt we dwoje, daleko od zgiełku miast.	5.5	Wyspy Kanaryjskie	La Palma
19	Hotel Library Erciyes	Nowoczesny i butikowy hotel w świetnej lokalizacji, blisko wyciągów narciarskich, jest idealnym miejscem na aktywny wypoczynek, szczególnie dla miłośników sportów zimowych. Urządzony w niecodzienny sposób, przypomina wnętrze biblioteki, dzięki czemu panuje w nim wyjątkowo przytulny i tajemniczy klimat. W pobliżu hotelu znajduje się wiele tras narciarskich, każdy może znaleźć coś dla siebie i szaleć na nartach czy snowboardzie. Po szusowaniu koniecznie zrelaksuj się w hotelowym centrum spa, a później wypocznij w komfortowych pokojach i zregeneruj siły przed kolejnym dniem na stoku. Spędź fantastyczny czas i ciesz się wypoczynkiem w Turcji! Skipass w cenie!	5.3	Turcja - narty	Kayseri
20	Hotel Fafa Aqua Blue	Nowo otwarty siostrzany hotel znanego i lubianego Grand Blue Fafa, zaprasza na wakacje pełne słońca, luksusu i pięciogwiazdkowego komfortu. Wymagający wczasowicze z pewnością pokochają to miejsce za elegancki dizajn i doskonały serwis, a wszyscy chcący spędzić urlop w prawdziwie wakacyjnej atmosferze docenią masę atrakcji oferowanych przez sąsiedni hotel, z których mogą korzystać Goście Fafa Aqua Blue. Nie zabrakło też wyjątkowych atrakcji dla najmłodszych! Na miejscu można bawić się w miniklubie i podczas polskojęzycznych animacji czy wskoczyć do basenu i szaleć na wodnym placu zabaw. Ukoronowaniem wygody jest popularna formuła all inclusive, która pozwoli w pełni cieszyć się wakacyjną sielanką! 	5.0	Albania	Durres
21	Hotel Mirada Del Lago	Stylowy i utrzymany w górskim klimacie hotel, który przypadnie do gustu najbardziej wymagającym miłośnikom białego szaleństwa. Położony w bliskiej odległości od wyciągów, do których dojechać można bezpłatnym, hotelowym ski busem. Po szusowaniu na Gości czeka strefa wellness z basenem, hammamem, saunami oraz bogatą ofertą masaży, a wieczór umili muzyka na żywo. Wspaniała atmosfera oraz kryty basen sprawiają, że to również doskonały wybór na wyjazd z rodziną. Restauracja serwująca dania kuchni tureckiej i międzynarodowej zadowoli najbardziej wymagających. Hotel posiada wszystkie udogodnienia dla narciarzy: narciarnię, wypożyczalnię i sklep z asortymentem sportowym. Na terenie całego obiektu jest dostępny bezpłatny internet bezprzewodowy. Skipass w cenie!	5.2	Turcja - narty	Kayseri
22	Hotel Cha-Da Thai Village Resort	Zaprojektowany w tradycyjnym tajskim stylu, otoczony skałami i zielonymi wzgórzami. Położony blisko słynnych plaż Ao Nang i Nappharat Thara, do których można dotrzeć stąd spacerem. Bezpłatny bus hotelowy kursuje do prywatnego klubu na plaży, gdzie warto wynająć łódkę i zwiedzić okoliczne wysepki. Wypoczynek z pewnością umili ładny kompleks basenowy z barem typu swim-up, otoczony soczystym, tropikalnym ogrodem, przestronne, wygodne pokoje i możliwość wypróbowania tradycyjnych tajskich potraw. W 2022 r. hotel otrzymał ŻAGIEL ITAKI za najwyższą jakość świadczonych usług.	5.0	Tajlandia	Krabi
23	Paradise Bay Resort	Malowniczo położony na klifie nad zatoką Paradise, zachwyca widokami i wysokim standardem usług. Oferuje przestronne, komfortowe i dobrze wyposażone pokoje, jego atutem jest także ciekawa oferta kulinarna. W 3 restauracjach à la carte można skosztować kuchni śródziemnomorskiej, a także specjałów lokalnej kuchni maltańskiej. Do dyspozycji Gości są 3 baseny z tarasami do opalania, z których roztacza się rewelacyjna panorama wybrzeża oraz podgrzewany, kryty basen z jacuzzi. Szczególnie polecany pragnącym połączyć wypoczynek ze zwiedzaniem i odkryć niezwykłe miejsca na mapie Malty.	4.6	Malta	Malta
24	Hotel Serra Palace (ex. LTI Serra Resort)	Wspaniała propozycja dla rodzin i miłośników wodnych szaleństw! Świetny kompleks 6 basenów i aż 15 zjeżdżalni dla dorosłych i dzieci zapewnią wiele uciechy wszystkim, którzy lubią zabawę w wodzie. Dodatkowo rozrywkę zapewnia sympatyczny zespół animatorów, a przyjazna obsługa pozwoli poczuć prawdziwie wakacyjną atmosferę. Smakowite posiłki serwowane w ramach bogatej oferty all inclusive i napoje podawane przez całą dobę pozwolą przyjemnie uzupełnić energię. 	5.3	Turcja	Side
